Dataset,MLP,MLP+D,XGB.,ASK-G.,TabN.,Node,AutoGL.,MLP+C
anneal,84.131,86.916,85.416,90,84.248,20,80,89.27
kr-vs-kp,99.701,99.85,99.85,99.85,93.25,97.264,99.687,99.85
arrhythmia,37.991,38.704,48.779,46.85,43.562,N/A,48.934,61.461
mfeat.,97.75,98,98,97.5,97.25,97.25,98,98
credit-g,69.405,68.095,68.929,71.191,61.19,73.095,69.643,74.643
vehicle,83.766,82.603,74.973,80.165,79.654,75.541,83.793,82.576
kc1,70.274,72.98,66.846,63.353,52.517,55.803,67.27,74.381
adult,76.893,78.52,79.824,79.83,77.155,78.168,80.557,82.443
walking.,60.997,63.754,61.616,62.764,56.801,N/A,60.8,63.923
phoneme,87.514,88.387,87.972,88.341,86.824,82.72,83.943,86.619
skin-seg.,99.971,99.962,99.968,99.967,99.961,N/A,99.973,99.953
ldpa,62.831,67.035,99.008,68.947,54.815,N/A,53.023,68.107
nomao,95.917,96.232,96.872,97.217,95.425,96.217,96.42,96.826
cnae,87.5,90.741,94.907,93.519,89.352,96.759,92.593,95.833
blood.,67.836,68.421,62.281,64.985,64.327,50,67.251,67.617
bank.,78.076,83.145,72.658,72.283,70.639,74.607,79.483,85.993
connect.,73.627,76.345,72.374,72.645,72.045,N/A,75.622,80.073
shuttle,99.475,99.892,98.563,98.571,88.017,42.805,83.433,99.948
higgs,67.752,66.873,72.944,72.926,72.036,N/A,73.798,73.546
australian,86.268,86.268,89.717,88.589,85.278,83.468,88.248,87.088
car,97.442,99.69,92.376,100,98.701,46.119,99.675,99.587
segment,94.805,94.589,93.723,93.074,91.775,90.043,91.991,93.723
fashion.,90.464,90.507,91.243,90.457,89.793,N/A,91.336,91.95
jungle.,97.061,97.237,87.325,83.07,73.425,N/A,93.017,97.471
numerai,50.262,50.301,52.363,52.421,51.599,52.364,51.706,52.668
devnagari,96.125,97,93.31,77.897,94.179,N/A,97.734,98.37
helena,16.836,23.983,21.994,21.144,19.032,N/A,27.115,27.701
jannis,51.505,55.118,55.225,55.593,56.214,N/A,58.526,65.287
volkert,65.081,66.996,64.17,63.428,59.409,N/A,70.195,71.667
miniboone,90.639,94.099,94.024,94.137,62.173,N/A,94.978,94.015
apsfailure,87.759,91.194,88.825,91.797,51.444,N/A,88.89,92.535
christine,70.941,70.756,74.815,74.447,69.649,73.247,74.17,74.262
dilbert,96.93,96.733,99.106,98.704,97.608,N/A,98.758,99.049
fabert,63.707,64.814,70.098,70.12,62.277,66.097,68.142,69.183
jasmine,78.048,76.211,80.546,78.878,76.69,80.053,80.046,79.217
sylvine,93.07,93.363,95.509,95.119,83.595,93.852,93.753,94.045
dionis,91.905,92.724,91.222,74.62,83.96,N/A,94.127,94.01
aloi,92.331,93.852,95.338,13.534,93.589,N/A,97.423,97.175
ccfraud,50,50,90.303,92.514,85.705,N/A,91.831,92.531
clickpred.,63.125,64.367,58.361,58.201,50.163,N/A,54.41,64.28