Model,Dataset,Prob True,Prob Pred
Logistic Basic,Train,0.0,0.0012824907129042082
Logistic Basic,Train,0.006160164271047228,0.002991207714553079
Logistic Basic,Train,0.0,0.005249184877685192
Logistic Basic,Train,0.01642710472279261,0.007727427049845697
Logistic Basic,Train,0.004106776180698152,0.010876913436863
Logistic Basic,Train,0.014373716632443531,0.01558449434209369
Logistic Basic,Train,0.039014373716632446,0.02364854616074775
Logistic Basic,Train,0.026694045174537988,0.03613947355846377
Logistic Basic,Train,0.05327868852459016,0.061301354165570095
Logistic Basic,Train,0.1437371663244353,0.13874007853453596
Logistic Basic,Test,0.0,0.0014472073494868655
Logistic Basic,Test,0.0,0.003418544476666033
Logistic Basic,Test,0.024539877300613498,0.005681587019723317
Logistic Basic,Test,0.024691358024691357,0.008038120235964898
Logistic Basic,Test,0.018404907975460124,0.010646856756831313
Logistic Basic,Test,0.006172839506172839,0.015088318081959779
Logistic Basic,Test,0.037037037037037035,0.02262117481582415
Logistic Basic,Test,0.018404907975460124,0.03500303719874024
Logistic Basic,Test,0.08024691358024691,0.06273395658163164
Logistic Basic,Test,0.09815950920245399,0.14568077370051358
Logistic Over,Train,0.0,0.02084527609107407
Logistic Over,Train,0.0,0.0599506994495287
Logistic Over,Train,0.002053388090349076,0.11723424509301414
Logistic Over,Train,0.004106776180698152,0.18330061098414904
Logistic Over,Train,0.018480492813141684,0.25192594699993515
Logistic Over,Train,0.008213552361396304,0.3415762163155626
Logistic Over,Train,0.030800821355236138,0.43494745694821896
Logistic Over,Train,0.045174537987679675,0.5592825180585448
Logistic Over,Train,0.06570841889117043,0.6891378505162719
Logistic Over,Train,0.1290983606557377,0.8321537324346714
Logistic Over,Test,0.0,0.023599812743818987
Logistic Over,Test,0.0,0.06798567274985433
Logistic Over,Test,0.006134969325153374,0.12759615030938717
Logistic Over,Test,0.006172839506172839,0.19340041647825085
Logistic Over,Test,0.05521472392638037,0.254515495103794
Logistic Over,Test,0.012345679012345678,0.32949658058066156
Logistic Over,Test,0.037037037037037035,0.4210723828687436
Logistic Over,Test,0.04294478527607362,0.551952272367111
Logistic Over,Test,0.04938271604938271,0.6901851949669685
Logistic Over,Test,0.09815950920245399,0.8395170210560673
Logistic Weighted,Train,0.0,0.025731379517127947
Logistic Weighted,Train,0.00205761316872428,0.0687804199048764
Logistic Weighted,Train,0.002053388090349076,0.12352199389602417
Logistic Weighted,Train,0.002053388090349076,0.18481953477541807
Logistic Weighted,Train,0.018480492813141684,0.2499888326759867
Logistic Weighted,Train,0.008213552361396304,0.3354447327812311
Logistic Weighted,Train,0.028747433264887063,0.4314923575159068
Logistic Weighted,Train,0.0513347022587269,0.5535201973637013
Logistic Weighted,Train,0.05942622950819672,0.6852645665963868
Logistic Weighted,Train,0.13141683778234087,0.8293380687555502
Logistic Weighted,Test,0.0,0.028820374848656977
Logistic Weighted,Test,0.0,0.07847548201311945
Logistic Weighted,Test,0.006134969325153374,0.1334547622833729
Logistic Weighted,Test,0.012345679012345678,0.1934881586560262
Logistic Weighted,Test,0.03680981595092025,0.2476813716648659
Logistic Weighted,Test,0.024691358024691357,0.3253909748626314
Logistic Weighted,Test,0.024691358024691357,0.4234821351407921
Logistic Weighted,Test,0.049079754601226995,0.5471333655097768
Logistic Weighted,Test,0.043209876543209874,0.6812478051771981
Logistic Weighted,Test,0.11042944785276074,0.8360883085644636
LGBM Basic,Train,0.0,1.2114790286562037e-06
LGBM Basic,Train,0.0,5.160402553752694e-06
LGBM Basic,Train,0.0,1.4038928640164268e-05
LGBM Basic,Train,0.0,3.396266396587693e-05
LGBM Basic,Train,0.0,8.316812821951607e-05
LGBM Basic,Train,0.0,0.00022438321254685713
LGBM Basic,Train,0.0,0.0006105533019769502
LGBM Basic,Train,0.0,0.0017008473978135737
LGBM Basic,Train,0.0,0.005544154034419824
LGBM Basic,Train,0.30327868852459017,0.2951735862679667
LGBM Basic,Test,0.0,1.4619491531146752e-06
LGBM Basic,Test,0.0,6.126466097778545e-06
LGBM Basic,Test,0.0,1.660816818372066e-05
LGBM Basic,Test,0.006172839506172839,4.290453531051179e-05
LGBM Basic,Test,0.0,9.956627078126674e-05
LGBM Basic,Test,0.030864197530864196,0.00024976021808146675
LGBM Basic,Test,0.018518518518518517,0.0006741712466343428
LGBM Basic,Test,0.024539877300613498,0.0020564653728643544
LGBM Basic,Test,0.030864197530864196,0.0070060705147828506
LGBM Basic,Test,0.19631901840490798,0.20531116132524263
LGBM Over,Train,0.0,4.335702813957358e-06
LGBM Over,Train,0.0,1.5079143747455675e-05
LGBM Over,Train,0.0,3.6779851397375244e-05
LGBM Over,Train,0.0,8.882669303813847e-05
LGBM Over,Train,0.0,0.00021471378455339957
LGBM Over,Train,0.0,0.0005678172810783335
LGBM Over,Train,0.0,0.001603802862006352
LGBM Over,Train,0.0,0.00537793280461067
LGBM Over,Train,0.0,0.019990141823634917
LGBM Over,Train,0.30327868852459017,0.38015481193355005
LGBM Over,Test,0.0,5.003109274683759e-06
LGBM Over,Test,0.0,1.7547743427051175e-05
LGBM Over,Test,0.012269938650306749,4.0661871356155906e-05
LGBM Over,Test,0.0,9.160286126910947e-05
LGBM Over,Test,0.018404907975460124,0.00022877550745777314
LGBM Over,Test,0.018518518518518517,0.0005931334512136746
LGBM Over,Test,0.024691358024691357,0.001755571052013361
LGBM Over,Test,0.018404907975460124,0.006311762659300137
LGBM Over,Test,0.04938271604938271,0.026863713002770115
LGBM Over,Test,0.1656441717791411,0.37071037087031844
LGBM Weighted,Train,0.0,2.238396600829677e-06
LGBM Weighted,Train,0.0,1.1987479179782447e-05
LGBM Weighted,Train,0.0,3.924575413110258e-05
LGBM Weighted,Train,0.0,0.00011486561440316348
LGBM Weighted,Train,0.0,0.00030443212155853596
LGBM Weighted,Train,0.0,0.0008001424682259674
LGBM Weighted,Train,0.0,0.0024600746618784223
LGBM Weighted,Train,0.0,0.007469338340345519
LGBM Weighted,Train,0.0,0.025390307905273572
LGBM Weighted,Train,0.30327868852459017,0.3844223589654805
LGBM Weighted,Test,0.0,2.978612562453687e-06
LGBM Weighted,Test,0.0,1.5478187030663445e-05
LGBM Weighted,Test,0.0,4.713307199717002e-05
LGBM Weighted,Test,0.024691358024691357,0.00012779780578318851
LGBM Weighted,Test,0.024539877300613498,0.00033487509336695826
LGBM Weighted,Test,0.0,0.0008673868235489074
LGBM Weighted,Test,0.018518518518518517,0.0026888871026871
LGBM Weighted,Test,0.018404907975460124,0.009148264608948315
LGBM Weighted,Test,0.037037037037037035,0.03775512649373283
LGBM Weighted,Test,0.18404907975460122,0.3990603050296915
LGBM Basic Tuned,Train,0.0,0.0004074257250177783
LGBM Basic Tuned,Train,0.0,0.0005629617323285666
LGBM Basic Tuned,Train,0.0,0.0007343180018631387
LGBM Basic Tuned,Train,0.0,0.0009696443596501279
LGBM Basic Tuned,Train,0.0,0.00146669118384324
LGBM Basic Tuned,Train,0.0,0.0035743292808201104
LGBM Basic Tuned,Train,0.0,0.008697342019353835
LGBM Basic Tuned,Train,0.0,0.016040882735445523
LGBM Basic Tuned,Train,0.0,0.031596731662633395
LGBM Basic Tuned,Train,0.30327868852459017,0.2398055563664
LGBM Basic Tuned,Test,0.0,0.00042756283869747923
LGBM Basic Tuned,Test,0.0,0.0005787098229044821
LGBM Basic Tuned,Test,0.006134969325153374,0.0007410099160016735
LGBM Basic Tuned,Test,0.0,0.000977944698438344
LGBM Basic Tuned,Test,0.0,0.001546683042084374
LGBM Basic Tuned,Test,0.018518518518518517,0.003827333794345248
LGBM Basic Tuned,Test,0.037037037037037035,0.008932175906129696
LGBM Basic Tuned,Test,0.024539877300613498,0.01777139877090299
LGBM Basic Tuned,Test,0.018518518518518517,0.03621465549433146
LGBM Basic Tuned,Test,0.20245398773006135,0.20917847000248757
LGBM Over Tuned,Train,0.0,1.1476138202617694e-09
LGBM Over Tuned,Train,0.0,6.141496210854823e-09
LGBM Over Tuned,Train,0.0,2.1930008324426435e-08
LGBM Over Tuned,Train,0.0,7.609004461988123e-08
LGBM Over Tuned,Train,0.0,2.543160023725197e-07
LGBM Over Tuned,Train,0.0,9.54396478602858e-07
LGBM Over Tuned,Train,0.0,3.616099688213685e-06
LGBM Over Tuned,Train,0.0,1.4928992034509849e-05
LGBM Over Tuned,Train,0.0,7.254031428870115e-05
LGBM Over Tuned,Train,0.30327868852459017,0.30355025190059476
LGBM Over Tuned,Test,0.0,1.1331096523144808e-09
LGBM Over Tuned,Test,0.006172839506172839,6.710571070629535e-09
LGBM Over Tuned,Test,0.012269938650306749,2.524415500175023e-08
LGBM Over Tuned,Test,0.006172839506172839,8.28297945448108e-08
LGBM Over Tuned,Test,0.012269938650306749,3.030749060472209e-07
LGBM Over Tuned,Test,0.0,1.0378548577823386e-06
LGBM Over Tuned,Test,0.030864197530864196,4.06017132905384e-06
LGBM Over Tuned,Test,0.0,1.889337066764467e-05
LGBM Over Tuned,Test,0.05555555555555555,0.00016475333131231597
LGBM Over Tuned,Test,0.18404907975460122,0.198745429534148
LGBM Weighted Tuned,Train,0.0,2.6623342796324125e-05
LGBM Weighted Tuned,Train,0.0,8.257402968607203e-05
LGBM Weighted Tuned,Train,0.0,0.00020191453911427973
LGBM Weighted Tuned,Train,0.0,0.00045524811481049407
LGBM Weighted Tuned,Train,0.0,0.001101917776476065
LGBM Weighted Tuned,Train,0.0,0.0025669201287230586
LGBM Weighted Tuned,Train,0.0,0.006201674797951623
LGBM Weighted Tuned,Train,0.0,0.015122216994789427
LGBM Weighted Tuned,Train,0.0,0.044480620402992214
LGBM Weighted Tuned,Train,0.30327868852459017,0.4162572085929789
LGBM Weighted Tuned,Test,0.0,3.123545895133937e-05
LGBM Weighted Tuned,Test,0.0,9.48885611775191e-05
LGBM Weighted Tuned,Test,0.006134969325153374,0.00022682273164202046
LGBM Weighted Tuned,Test,0.012345679012345678,0.0005438695763334112
LGBM Weighted Tuned,Test,0.018292682926829267,0.0012014747435875174
LGBM Weighted Tuned,Test,0.006211180124223602,0.0028639547478007256
LGBM Weighted Tuned,Test,0.024691358024691357,0.006501618096196221
LGBM Weighted Tuned,Test,0.03067484662576687,0.017339478676206825
LGBM Weighted Tuned,Test,0.030864197530864196,0.05999958167935733
LGBM Weighted Tuned,Test,0.17791411042944785,0.4171175902486139
